,Network,Layer,EVC,IT,Avg
0,alexnet,conv1,6.84367944007821,1.2526576815920696,3.1574890654330807
1,alexnet,conv2,16.79268594269172,7.106077982686059,10.406253807825207
2,alexnet,conv3,17.852960398110906,7.13620393932973,10.787345880368171
3,alexnet,conv4,13.982970976168337,10.661581133543619,11.793160992019319
4,alexnet,conv5,8.028890388044198,4.344324688971046,5.599636630614965
5,resnet,block1,8.588086950391432,1.5333810303330715,3.9368818251385456
6,resnet,block2,10.803461841863445,1.2812209135861932,4.525397765008267
7,resnet,block3,7.4481128066304425,1.551875614593533,3.5606922737158846
8,resnet,block4,12.449304615153185,10.01784882758014,10.846232885567611
9,vgg,maxpool1,7.235365866761842,1.402666155140932,3.389835932534934
10,vgg,maxpool2,10.028847167463297,1.916095042741621,4.680066553501215
11,vgg,maxpool3,14.33328862147002,4.757608028840346,8.019991489751272
12,vgg,maxpool4,15.745806603566354,7.478182568661927,10.294918115716628
13,vgg,maxpool5,9.50304698792657,5.03363312936709,6.556338665655901
